ID,Logradouro,Número,Complemento,Bairro,CEP,Município,UF,Localização,Geolocalização manual
80119,Endereço provisório: Rua Tubarão,305,,Centro,88301-470,Itajaí,SC,"-26.9138810559679,-48.6550140380859",False
80120,Alameda Santo Antão,1833,Granja,Distrito de Mangabeira,59280-000,Macaíba,RN,"-5.852888480169142,-35.35245895385742",False
80121,Rua Paulo Turkiewicz,150,Localizado na sede do IML de Curitiba,Tarumã,82821-030,Curitiba,PR,"-25.4239035,-49.2143583",False
80122,Rua Julio de Castilhos,707,,Centro,95560-000,Torres,RS,"-29.339603,-49.7250584",False
80123,Canela,3570,,Não Informado,95680-000,Canela,RS,"-29.3706783,-50.86225760000002",False
80124,Rua Francisco Custodio de Azevedo,2,,São João,62360-000,Ibiapina,CE,"-3.93085503805967,-40.8885383605957",False
80125,Rua Josefina Mingarelli,s/n,,Jardim Presidente,79015-350,Campo Grande (Mato Grosso do Sul),MS,"-20.3994566,-54.585565",False
80126,Estação das Docas - Pará 2000 - Avenida Boulevard Castilho França,s/n,Galpão 3 Mezzanino,Campina,66010-020,Belém (Pará),PA,"-1.45122,-48.502268",False
80127,Rua dos Coelhos,300,,Boa Vista,500700-550,Recife,PE,"-8.067418,-34.889303",False
80128,Rua Professor Rivadavia Marques Júnior,338,,Centro,18400-370,Itapeva (São Paulo),SP,"-23.9847692,-48.876553599999966",False
80129,Rua da Imperatriz,220,,Centro,25610-320,Petrópolis,RJ,"-22.509004,-43.175782",False
80130,"Rodovia Asa Branca, km 38, Rodovia BR 122",s/n,,Gonzagão,56230-000,Exu,PE,"-7.504045,-39.724152",False
80131,Rua Macário Marques Caetano,356,,Centro,75245-000,Caldazinha,GO,"-16.712115,-49.001713",False
80132,Rua Doutor José Botelho Veloso,s/n,,Vila São João,13480-729,Limeira,SP,"-22.5644524302612,-47.4124646186829",False
80133,Avenida Borges de Medeiros,997,,Lagoa,22430-041,Rio de Janeiro,RJ,"-22.979282,-43.217449",False
80134,Rua Doutor José de Miranda Ramos,421,,Centro,89820-000,Xanxerê,SC,"-26.8775867,-52.4025932",False
80135,Praça Antônio Gomes,514,,Centro,59610-150,Mossoró,RN,"-5.193706,-37.342374",False
80136,Avenida Jorge Ivan da Costa Gertum,9805,Laranjal Parque Hotel,Praia do Laranjal - Parque Costa Verde,96090-850,Pelotas,RS,"-31.765396,-52.337596",False
80137,Rua Carlos Brant,14,,Santa Teresa,20240-220,Rio de Janeiro,RJ,"-22.920033,-43.185725",False
80138,Praça João Sarkis Filho,s/n,Praça,Centro,13974-361,Itapira,SP,"-22.4376670996117,-46.8261551856995",False
80139,"Largo de São Sebastião, s/n",s/n,,Centro,69025-140,Manaus,AM,"-3.13023719546969,-60.0234312191606",False
80140,Rua Daniel Muraro,854,,Centro,85840-000,Céu Azul,PR,"-25.149349,-53.84199",False
80141,Avenida Cuiabá com Arnaldo Estêvão de Figueiredo,s/n,Em frente a Praça Brasil,Centro,78700-090,Rondonópolis,MT,"-16.467687,-54.637666",False
