ID,Título,Status do Museu,Localização,Geolocalização manual
80119,Casa da Cultura Dide Brandão,Aberto,"-26.9138810559679,-48.6550140380859",False
80120,Museu Sacro João XXIII,Aberto,"-5.852888480169142,-35.35245895385742",False
80121,Museu Paranaense de Ciências Forenses,Aberto,"-25.4239035,-49.2143583",False
80122,"Museu Histórico, Antropológico, Arqueológico e Oceanográfico de Torres",Aberto,"-29.339603,-49.7250584",False
80123,Museu Gramado Minerais e Pedras Preciosas,Aberto,"-29.3706783,-50.86225760000002",False
80124,Museu Centro de Valorização da Cultura Ibiapinense,Fechado,"-3.93085503805967,-40.8885383605957",False
80125,Parque Estadual Matas do Segredo,Aberto,"-20.3994566,-54.585565",False
80126,Memorial do Porto - Estação das Docas,Aberto,"-1.45122,-48.502268",False
80127,Museu do IMIP (Instituto de Medicina Integral Professor Fernando Figueira),Aberto,"-8.067418,-34.889303",False
80128,Museu Histórico de Itapeva,Aberto,"-23.9847692,-48.876553599999966",False
80129,Museu Imperial,Aberto,"-22.509004,-43.175782",False
80130,Museu do Gonzagão,Aberto,"-7.504045,-39.724152",False
80131,Museu Municipal Dita Lima,Fechado,"-16.712115,-49.001713",False
80132,Museu da Joia,Fechado,"-22.5644524302612,-47.4124646186829",False
80133,Museu Flamengo,Aberto,"-22.979282,-43.217449",False
80134,Museu Municipal Marechal Bormann,Aberto,"-26.8775867,-52.4025932",False
80135,Museu Histórico Lauro da Escóssia,Aberto,"-5.193706,-37.342374",False
80136,Sala Montserrat Caballé,Aberto,"-31.765396,-52.337596",False
80137,Museu do Bonde,Aberto,"-22.920033,-43.185725",False
80138,Museu do Esporte de Itapira José de Oliveira Barretto Sobrinho,Aberto,"-22.4376670996117,-46.8261551856995",False
80139,Museu Teatro Amazonas,Aberto,"-3.13023719546969,-60.0234312191606",False
80140,Museu Municipal Manuel Gomez Filho,Fechado,"-25.149349,-53.84199",False
80141,Museu Rosa Bororo,Aberto,"-16.467687,-54.637666",False
80143,Museu da Diversidade Sexual,Aberto,"-23.5426725,-46.644517",False
80144,Museu Municipal de Rodeio Bonito,Aberto,"-27.474686,-53.171105",False
80145,Museu do Porto de Natal,Aberto,"-5.786918,-35.195474",False
80146,Museu Rodoviário de Paraibuna,Aberto,"-22.040917,-43.214437",False
80147,Sala da Memória do Hospital Universitário Professor Alberto Antunes - Universidade Federal de Alagoas,Aberto,"-9.559266,-35.779089",False
80148,Museu Histórico Geringonza,Aberto,"-29.5767391,-53.4438367",False
80149,Museu do Brejo Paraibano (Museu da Rapadura) - Universidade Federal da Paraíba,Aberto,"-6.964369,-35.698058",False
80150,Parque Estadual Ilha do Mel,Aberto,"-25.51657,-48.523004",False
80151,Museu do Têxtil e da Moda da Universidade Regional de Blumenau,Aberto,"-26.906012,-49.077685",False
80152,Museu da Pmpa,Aberto,"-1.44740204733391,-48.4958173893392",False
80153,Museu do Universo - Fundação Planetário da Cidade do Rio de Janeiro,Aberto,"-22.977814,-43.230013",False
80154,Museu Histórico - Instituto Butantan,Aberto,"-23.569211,-46.714742",False
80155,Museu de Sant'ana,Aberto,"-21.1095563,-44.1765638",False
80156,Museu Itinerante Memória Carris,Aberto,"-30.0576,-51.165247",False
80157,Museu Crisantho Jobim,Aberto,"-3.134014,-60.028568",False
80158,Museu Oboé de Arte Cearense,Aberto,"-3.735391,-38.497354",False
80159,Museu das Comunicações e Humanidades - MUSEHUM,Aberto,"-22.92986,-43.17674",False
80160,Museu das Culturas Indígenas,Aberto,"-23.5297743999788,-46.6722071170807",False
80161,Museu de Zoologia do Instituto Federal de Minas Gerais - Campus S. J. Evangelista,Aberto,"-18.5479196270222,-42.7644968032837",False
80162,Aquário Natal,Aberto,"-5.725346,-35.203548",False
80163,Museu de História Natural de Alta Floresta,Aberto,"-9.874757,-56.085974",False
80164,Museu de História Natural do Colégio Dante Alighieri,Aberto,"-23.5632003898296,-46.6590428352356",False
80165,Museu Tiradentes da Polícia Militar do Amazonas,Aberto,"-3.13538835,-60.0214275181017",False
80166,Museu do Catetinho,Aberto,"-15.9475577993632,-47.988469004631",False
80168,Museu Municipal de Paulínia Bortolo José Ferro,Fechado,"-22.78425065,-47.1585260649605",False
