ID,Acessibilidade_fisica,Infraestruturas_dificuldade_locomocao,Infraestrutura_auditivas_visuais,Outras_infra_auditivas_visuais,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
80119,Corrimão nas escadas e rampas|Rampa de acesso,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,Casa da Cultura Dide Brandão,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",SC,Itajaí,http://www.casadacultura.worpress.com,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80119
80121,Elevador,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Paranaense de Ciências Forenses,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,Defesa e segurança pública,PR,Curitiba,https://www.policiacientifica.pr.gov.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80121
80122,Corrimão nas escadas e rampas,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,"Museu Histórico, Antropológico, Arqueológico e Oceanográfico de Torres",PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Torres,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80122
80127,Corrimão nas escadas e rampas|Rampa de acesso|Sanitário adaptado|Vaga de estacionamento exclusiva para deficientes e/ou idosos,Vaga de estacionamento exclusiva para idosos,- NÃO POSSUI -,- NÃO POSSUI -,Museu do IMIP (Instituto de Medicina Integral Professor Fernando Figueira),PRIVADA – Fundação,Aberto,Clássico/Tradicional,História,PE,Recife,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80127
80129,Cadeira de rodas para uso do visitante|Corrimão nas escadas e rampas,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Imperial,PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,RJ,Petrópolis,http://museuimperial.museus.gov.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80129
80130,Rampa de acesso,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,Museu do Gonzagão,PARTICULAR,Aberto,Clássico/Tradicional,História,PE,Exu,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80130
80135,Corrimão nas escadas e rampas|Rampa de acesso,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Histórico Lauro da Escóssia,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RN,Mossoró,http://www.prefeiturademossoro.com.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80135
80133,Banheiros adaptados|Cadeira de rodas para uso do visitante|Circuito de visitação adaptado|Corrimão nas escadas e rampas|Elevador|Elevador adaptado|Rampa de acesso|Sanitário adaptado|Vaga de estacionamento exclusiva para deficientes e/ou idosos,- NÃO POSSUI -,Guia multimídia (audioguia com monitor)|Maquetes táteis ou mapas em relevo|Obras e reproduções táteis|Sinalização tátil|Texto/Etiquetas em Braille|Tradutor de Língua Brasileira de Sinais (LIBRAS),- NÃO POSSUI -,Museu Flamengo,PRIVADA – Associação,Aberto,Clássico/Tradicional,"Educação, esporte e lazer",RJ,Rio de Janeiro,https://museuflamengo.com/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80133
80138,Circuito de visitação adaptado|Rampa de acesso|Vaga de estacionamento exclusiva para deficientes e/ou idosos,Vaga de estacionamento exclusiva para idosos,- NÃO POSSUI -,- NÃO POSSUI -,Museu do Esporte de Itapira José de Oliveira Barretto Sobrinho,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,"Educação, esporte e lazer",SP,Itapira,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80138
80143,Banheiros adaptados|Elevador adaptado,--,Guia multimídia (audioguia com monitor),- NÃO INFORMADO -,Museu da Diversidade Sexual,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,História,SP,São Paulo,https://www.museudadiversidadesexual.org.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80143
80154,Cadeira de rodas para uso do visitante,- NÃO INFORMADO -,Maquetes táteis ou mapas em relevo,- NÃO INFORMADO -,Museu Histórico - Instituto Butantan,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,História,SP,São Paulo,http://www.butantan.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80154
80155,Banheiros adaptados|Bebedouro adaptado|Corrimão nas escadas e rampas|Elevador|Elevador adaptado|Rampa de acesso|Sanitário adaptado,Bebedouro adaptado,Guia multimídia (audioguia com monitor)|Maquetes táteis ou mapas em relevo|Sinalização tátil,- NÃO INFORMADO -,Museu de Sant'ana,PRIVADA – Fundação,Aberto,Clássico/Tradicional,Antropologia e arqueologia,MG,Tiradentes,http://www.museudesantana.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80155
80159,Banheiros adaptados|Bebedouro adaptado|Cadeira de rodas para uso do visitante|Corrimão nas escadas e rampas|Elevador|Rampa de acesso,Bebedouro adaptado,Guia multimídia (audioguia com monitor)|Texto/Etiquetas em Braille,- NÃO INFORMADO -,Museu das Comunicações e Humanidades - MUSEHUM,PRIVADA – Empresa,Aberto,Clássico/Tradicional,Meios de comunicação e transporte,RJ,Rio de Janeiro,https://oifuturo.org.br/espacos/musehum/#sobre,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80159
80164,Vaga de estacionamento exclusiva para deficientes e/ou idosos,Vaga de estacionamento exclusiva para idosos,- NÃO INFORMADO -,Algumas atividades educativas destinadas a pessoas com deficiência visual,Museu de História Natural do Colégio Dante Alighieri,PRIVADA – Empresa,Aberto,Clássico/Tradicional,"Ciências exatas, da terra, biológicas e da saúde",SP,São Paulo,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80164
80165,Cadeira de rodas para uso do visitante|Corrimão nas escadas e rampas|Rampa de acesso,- NÃO INFORMADO -,Guia multimídia (audioguia com monitor),- NÃO INFORMADO -,Museu Tiradentes da Polícia Militar do Amazonas,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,História,AM,Manaus,http://www.cultura.am.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80165
80171,Banheiros adaptados|Circuito de visitação adaptado|Corrimão nas escadas e rampas|Elevador|Sanitário adaptado|Vaga de estacionamento exclusiva para deficientes e/ou idosos,Vaga de estacionamento exclusiva para idosos,Guia multimídia (audioguia com monitor),- NÃO INFORMADO -,Museu UNICA - Universo da Criança e do Adolescente,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,"Ciências exatas, da terra, biológicas e da saúde",BA,Camaçari,https://www.facebook.com/museunica.cds/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80171
80173,Banheiros adaptados|Circuito de visitação adaptado|Corrimão nas escadas e rampas|Rampa de acesso|Sanitário adaptado|Vaga de estacionamento exclusiva para deficientes e/ou idosos,Vaga de estacionamento exclusiva para idosos,- NÃO POSSUI -,- NÃO POSSUI -,Museu Histórico de Chopinzinho,PÚBLICA – Municipal,Fechado,Clássico/Tradicional,História,PR,Chopinzinho,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80173
80179,Banheiros adaptados|Bebedouro adaptado|Circuito de visitação adaptado|Corrimão nas escadas e rampas|Elevador|Rampa de acesso|Sanitário adaptado|Vaga de estacionamento exclusiva para deficientes e/ou idosos,Vaga de estacionamento exclusiva para idosos|Bebedouro adaptado,Obras e reproduções táteis|Sinalização tátil|Texto/Etiquetas em Braille,- NÃO INFORMADO -,Museu Municipal da Estância de Socorro Dr. João Batipsta Gomes,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,SP,Socorro,https://www.facebook.com/museu.socorro/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80179
80175,Banheiros adaptados|Bebedouro adaptado|Cadeira de rodas para uso do visitante|Circuito de visitação adaptado|Corrimão nas escadas e rampas|Elevador|Elevador adaptado|Rampa de acesso|Sanitário adaptado,Bebedouro adaptado,- NÃO POSSUI -,- NÃO POSSUI -,Centro de Memória do Circo,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",SP,São Paulo,http://www.prefeitura.sp.gov.br/cidade/secretarias/cultura/patrimonio_historico/memoria_do_circo/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80175
80176,Corrimão nas escadas e rampas,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,Museu de Arte Sacra de Santos,PRIVADA – Organização Religiosa,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",SP,Santos,http://www.mass.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80176
80181,Circuito de visitação adaptado|Rampa de acesso,- NÃO INFORMADO -,Tradutor de Língua Brasileira de Sinais (LIBRAS),- NÃO INFORMADO -,Casa de Cultura Huguenote Daniel de La Touche,PRIVADA – Associação,Aberto,Clássico/Tradicional,História,MA,São Luís,http://casadeculturahuguenote.com,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80181
80178,Rampa de acesso,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Histórico e Pedagógico Marechal Cândido Rondon,PÚBLICA – Municipal,Fechado,Clássico/Tradicional,História,SP,Araçatuba,http://museumarechalrondon.blogspot.com/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80178
80185,Circuito de visitação adaptado|Rampa de acesso,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Histórico e Cultural de Holambra,PRIVADA – Associação,Aberto,Clássico/Tradicional,História,SP,Holambra,http://www.museuholambra.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80185
80187,Banheiros adaptados|Corrimão nas escadas e rampas|Rampa de acesso|Sanitário adaptado|Vaga de estacionamento exclusiva para deficientes e/ou idosos,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu da Música Tonico &amp; Tinoco e Pedro Bento &amp; Zé da Estrada,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,SP,Pratânia,https://turismo.pratania.sp.gov.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80187
80194,Banheiros adaptados|Cadeira de rodas para uso do visitante|Circuito de visitação adaptado|Corrimão nas escadas e rampas|Elevador|Elevador adaptado|Rampa de acesso|Sanitário adaptado|Vaga de estacionamento exclusiva para deficientes e/ou idosos,Vaga de estacionamento exclusiva para idosos,Guia multimídia (audioguia com monitor),- NÃO INFORMADO -,Memorial da Advocacia Sergipana,MISTA,Aberto,Clássico/Tradicional,História,SE,Aracaju,http://oabsergipe.org.br/memorial/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80194
80196,Banheiros adaptados|Bebedouro adaptado|Circuito de visitação adaptado|Corrimão nas escadas e rampas|Rampa de acesso|Sanitário adaptado,Bebedouro adaptado,- NÃO POSSUI -,- NÃO POSSUI -,Museu da Água de Piracicaba,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,SP,Piracicaba,http://www.semaepiracicaba.sp.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80196
80197,Banheiros adaptados|Bebedouro adaptado|Corrimão nas escadas e rampas|Elevador|Elevador adaptado|Rampa de acesso|Sanitário adaptado,Bebedouro adaptado,- NÃO POSSUI -,- NÃO POSSUI -,Museu Municipal Histórico e Pedagógico Comendador Virgolino de Oliveira,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,SP,Itapira,https://museusitapira.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80197
80199,Corrimão nas escadas e rampas|Rampa de acesso,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Padre Antônio Brilhante,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RN,Patu,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80199
80204,Banheiros adaptados|Circuito de visitação adaptado|Rampa de acesso|Sanitário adaptado|Vaga de estacionamento exclusiva para deficientes e/ou idosos,Vaga de estacionamento exclusiva para idosos,- NÃO POSSUI -,- NÃO POSSUI -,Museu de Anatomia da Universidade Federal de Mato Grosso do Sul,PÚBLICA – Federal,Fechado,Clássico/Tradicional,"Ciências exatas, da terra, biológicas e da saúde",MS,Campo Grande (Mato Grosso do Sul),https://museuanatomia.ufms.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80204
80210,Corrimão nas escadas e rampas,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,Memorial Feminino da Academia Literária,PRIVADA – Associação,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",RS,Porto Alegre,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80210
