ID,Acessibilidade_fisica,Infraestruturas_dificuldade_locomocao,Infraestrutura_auditivas_visuais,Outras_infra_auditivas_visuais,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
80120,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Sacro João XXIII,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,RN,Macaíba,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80120
117440,- NÃO INFORMADO -,--,--,--,Museu da Cultura Hip Hop RS,PRIVADA – Associação,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",RS,Porto Alegre,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=117440
80123,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Gramado Minerais e Pedras Preciosas,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RS,Canela,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80123
80124,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Centro de Valorização da Cultura Ibiapinense,PRIVADA – Não informada,Fechado,Clássico/Tradicional,"Educação, esporte e lazer",CE,Ibiapina,http://cevaciong.blogspot.com.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80124
80128,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Histórico de Itapeva,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,SP,Itapeva (São Paulo),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80128
80131,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Municipal Dita Lima,PÚBLICA – Municipal,Fechado,Clássico/Tradicional,História,GO,Caldazinha,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80131
80144,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Municipal de Rodeio Bonito,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Rodeio Bonito,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80144
80145,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu do Porto de Natal,PRIVADA – Não informada,Aberto,Museu de Território/Ecomuseu,História,RN,Natal,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80145
80146,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Rodoviário de Paraibuna,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RJ,Comendador Levy Gasparian,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80146
80151,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu do Têxtil e da Moda da Universidade Regional de Blumenau,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,SC,Blumenau,http://www.furb.br/museudotextil,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80151
