ID,Acessibilidade_fisica,Infraestruturas_dificuldade_locomocao,Infraestrutura_auditivas_visuais,Outras_infra_auditivas_visuais,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
80125,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Parque Estadual Matas do Segredo,PÚBLICA – Estadual/Distrital,Aberto,Unidade de conservação da natureza,"Ciências exatas, da terra, biológicas e da saúde",MS,Campo Grande (Mato Grosso do Sul),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80125
80126,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Memorial do Porto - Estação das Docas,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,PA,Belém (Pará),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80126
80132,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu da Joia,PÚBLICA – Municipal,Fechado,Clássico/Tradicional,"Artes, arquitetura e linguística",SP,Limeira,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80132
80136,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Sala Montserrat Caballé,PARTICULAR,Aberto,Clássico/Tradicional,História,RS,Pelotas,http://www.inbraja.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80136
80137,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu do Bonde,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,Meios de comunicação e transporte,RJ,Rio de Janeiro,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80137
80139,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Teatro Amazonas,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,História,AM,Manaus,http://www.culturamazonas.am.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80139
80140,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Municipal Manuel Gomez Filho,PÚBLICA – Municipal,Fechado,Clássico/Tradicional,História,PR,Céu Azul,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80140
80147,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Sala da Memória do Hospital Universitário Professor Alberto Antunes - Universidade Federal de Alagoas,PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,AL,Maceió,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80147
80148,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Histórico Geringonza,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Faxinal do Soturno,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80148
80149,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu do Brejo Paraibano (Museu da Rapadura) - Universidade Federal da Paraíba,PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,PB,Areia,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80149
