ID,Acessibilidade_fisica,Infraestruturas_dificuldade_locomocao,Infraestrutura_auditivas_visuais,Outras_infra_auditivas_visuais,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
80134,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Municipal Marechal Bormann,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,SC,Xanxerê,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80134
80141,- NÃO POSSUI -,--,- NÃO POSSUI -,- NÃO POSSUI -,Museu Rosa Bororo,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,MT,Rondonópolis,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80141
80318,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO INFORMADO -,- NÃO INFORMADO -,Memorial do Bordado Maria Arte e Ofício,PÚBLICA – Municipal,Fechado,Clássico/Tradicional,História,MG,Belo Horizonte,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80318
81308,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,Jardim Botânico Municipal Francisca Maria Garfunkel Rischbieter,PÚBLICA – Municipal,Aberto,"Jardim zoológico, botânico, herbário, oceanário ou planetário","Ciências exatas, da terra, biológicas e da saúde",PR,Curitiba,http://www.curitiba.pr.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81308
81666,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO INFORMADO -,Museu da Imagem e do Som de Pernambuco - MISPE,PÚBLICA – Estadual/Distrital,Aberto,- NÃO INFORMADO -,"Artes, arquitetura e linguística",PE,Recife,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81666
81867,- NÃO POSSUI -,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO INFORMADO -,Reserva Florestal Adolpho Ducke,PÚBLICA – Federal,Aberto,Unidade de conservação da natureza,"Ciências exatas, da terra, biológicas e da saúde",AM,Manaus,https://www.gov.br/inpa/pt-br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81867
82297,- NÃO POSSUI -,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO INFORMADO -,"Museu Paleontológico, Arqueológico e Histórico Prefeito Bertoldo Jacobsen",PÚBLICA – Municipal,Fechado,Clássico/Tradicional,- NÃO INFORMADO -,SC,Taió,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82297
82674,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO INFORMADO -,- NÃO INFORMADO -,Casa Chico Mendes,PRIVADA – Não informada,Fechado,Clássico/Tradicional,"Ciências exatas, da terra, biológicas e da saúde",AC,Xapuri,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82674
82686,- NÃO POSSUI -,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO INFORMADO -,Museu Histórico Municipal Nice Antonieta Schüler,PÚBLICA – Municipal,Fechado,- NÃO INFORMADO -,História,RS,Montenegro,http://www.montenegro.rs.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82686
82752,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Municipal João Moreira da Silva,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,MG,Andradas,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82752
