ID,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
80119,Casa da Cultura Dide Brandão,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",SC,Itajaí,http://www.casadacultura.worpress.com,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80119
80120,Museu Sacro João XXIII,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,RN,Macaíba,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80120
80121,Museu Paranaense de Ciências Forenses,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,Defesa e segurança pública,PR,Curitiba,https://www.policiacientifica.pr.gov.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80121
117440,Museu da Cultura Hip Hop RS,PRIVADA – Associação,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",RS,Porto Alegre,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=117440
80122,"Museu Histórico, Antropológico, Arqueológico e Oceanográfico de Torres",PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Torres,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80122
80123,Museu Gramado Minerais e Pedras Preciosas,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RS,Canela,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80123
80124,Museu Centro de Valorização da Cultura Ibiapinense,PRIVADA – Não informada,Fechado,Clássico/Tradicional,"Educação, esporte e lazer",CE,Ibiapina,http://cevaciong.blogspot.com.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80124
80125,Parque Estadual Matas do Segredo,PÚBLICA – Estadual/Distrital,Aberto,Unidade de conservação da natureza,"Ciências exatas, da terra, biológicas e da saúde",MS,Campo Grande (Mato Grosso do Sul),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80125
80126,Memorial do Porto - Estação das Docas,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,PA,Belém (Pará),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80126
80127,Museu do IMIP (Instituto de Medicina Integral Professor Fernando Figueira),PRIVADA – Fundação,Aberto,Clássico/Tradicional,História,PE,Recife,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80127
80128,Museu Histórico de Itapeva,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,SP,Itapeva (São Paulo),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80128
80129,Museu Imperial,PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,RJ,Petrópolis,http://museuimperial.museus.gov.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80129
80131,Museu Municipal Dita Lima,PÚBLICA – Municipal,Fechado,Clássico/Tradicional,História,GO,Caldazinha,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80131
80132,Museu da Joia,PÚBLICA – Municipal,Fechado,Clássico/Tradicional,"Artes, arquitetura e linguística",SP,Limeira,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80132
80130,Museu do Gonzagão,PARTICULAR,Aberto,Clássico/Tradicional,História,PE,Exu,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80130
80134,Museu Municipal Marechal Bormann,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,SC,Xanxerê,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80134
80135,Museu Histórico Lauro da Escóssia,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RN,Mossoró,http://www.prefeiturademossoro.com.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80135
80133,Museu Flamengo,PRIVADA – Associação,Aberto,Clássico/Tradicional,"Educação, esporte e lazer",RJ,Rio de Janeiro,https://museuflamengo.com/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80133
80136,Sala Montserrat Caballé,PARTICULAR,Aberto,Clássico/Tradicional,História,RS,Pelotas,http://www.inbraja.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80136
80137,Museu do Bonde,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,Meios de comunicação e transporte,RJ,Rio de Janeiro,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80137
80138,Museu do Esporte de Itapira José de Oliveira Barretto Sobrinho,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,"Educação, esporte e lazer",SP,Itapira,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80138
80139,Museu Teatro Amazonas,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,História,AM,Manaus,http://www.culturamazonas.am.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80139
80140,Museu Municipal Manuel Gomez Filho,PÚBLICA – Municipal,Fechado,Clássico/Tradicional,História,PR,Céu Azul,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80140
80141,Museu Rosa Bororo,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,MT,Rondonópolis,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80141
80143,Museu da Diversidade Sexual,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,História,SP,São Paulo,https://www.museudadiversidadesexual.org.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80143
80144,Museu Municipal de Rodeio Bonito,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Rodeio Bonito,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80144
80145,Museu do Porto de Natal,PRIVADA – Não informada,Aberto,Museu de Território/Ecomuseu,História,RN,Natal,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80145
80146,Museu Rodoviário de Paraibuna,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RJ,Comendador Levy Gasparian,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80146
80147,Sala da Memória do Hospital Universitário Professor Alberto Antunes - Universidade Federal de Alagoas,PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,AL,Maceió,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80147
80148,Museu Histórico Geringonza,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Faxinal do Soturno,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80148
80149,Museu do Brejo Paraibano (Museu da Rapadura) - Universidade Federal da Paraíba,PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,PB,Areia,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80149
